timestamp,true,baseline,arima,randomforest
2020-05-09 12:20:00,908.29,908.29,903.3393901029043,903.1983999999992
2020-05-09 12:25:00,897.25,908.29,902.8384510159583,902.7855000000002
2020-05-09 12:30:00,884.7,897.25,902.7984659620699,901.3937
2020-05-09 12:35:00,879.5,884.7,902.7855167234613,898.5138999999998
2020-05-09 12:40:00,882.25,879.5,902.792599473418,890.4476
2020-05-09 12:45:00,882.88,882.25,902.7855135734837,889.6934999999999
2020-05-09 12:50:00,905.83,882.88,902.7920609445417,888.2299999999999
2020-05-09 12:55:00,884.1,905.83,902.7859612295289,894.4812000000004
2020-05-09 13:00:00,897.95,884.1,902.7916389095464,890.8547999999996
2020-05-09 13:05:00,893.63,897.95,902.7863535705329,891.2533
2020-05-09 13:10:00,900.3,893.63,902.791273631301,890.2784999999999
2020-05-09 13:15:00,897.93,900.3,902.7866935989656,892.4662999999997
2020-05-09 13:20:00,883.81,897.93,902.7909571019626,893.5485999999997
2020-05-09 13:25:00,881.72,883.81,902.7869882526855,893.6705000000001
2020-05-09 13:30:00,875.92,881.72,902.7906828119658,888.5553999999997
2020-05-09 13:35:00,881.86,875.92,902.7872435863052,886.2421
2020-05-09 13:40:00,898.26,881.86,902.7904451246343,888.0351999999998
2020-05-09 13:45:00,875.77,898.26,902.7874648468962,893.5553999999997
2020-05-09 13:50:00,885.05,875.77,902.7902391555201,888.3711999999998
2020-05-09 13:55:00,871.84,885.05,902.7876565813385,890.418
2020-05-09 14:00:00,889.32,871.84,902.7900606719816,884.0586999999998
2020-05-09 14:05:00,869.74,889.32,902.7878227297527,885.4449000000001
2020-05-09 14:10:00,902.79,869.74,902.7899060062024,882.4593000000001
2020-05-09 14:15:00,895.14,902.79,902.7879667064699,879.6627999999997
2020-05-09 14:20:00,894.73,895.14,902.7897719798185,883.7109999999999
2020-05-09 14:25:00,901.26,894.73,902.788091470195,890.9593000000002
2020-05-09 14:30:00,933.08,901.26,902.7896558386032,888.8366000000001
2020-05-09 14:35:00,914.47,933.08,902.7881995848084,907.1806
2020-05-09 14:40:00,908.24,914.47,902.7895551958677,904.1886
2020-05-09 14:45:00,898.81,908.24,902.7882932720529,905.8113999999998
2020-05-09 14:50:00,907.25,898.81,902.7894679834153,898.6841999999994
2020-05-09 14:55:00,917.0,907.25,902.7883744571907,905.9793000000005
2020-05-09 15:00:00,905.35,917.0,902.7893924090401,911.4025000000001
2020-05-09 15:05:00,907.85,905.35,902.788444808567,902.76
2020-05-09 15:10:00,912.1,907.85,902.7893269196975,905.4691999999997
2020-05-09 15:15:00,903.83,912.1,902.7885057718946,909.4953000000002
2020-05-09 15:20:00,904.96,903.83,902.7892701695888,908.5730999999997
2020-05-09 15:25:00,902.02,904.96,902.7885585999629,907.0878999999996
2020-05-09 15:30:00,906.44,902.02,902.7892209925059,906.2217833333336
2020-05-09 15:35:00,894.14,906.44,902.7886043783827,905.7984999999998
2020-05-09 15:40:00,914.66,894.14,902.7891783778653,903.3613999999997
2020-05-09 15:45:00,899.97,914.66,902.7886440478952,905.7475999999995
2020-05-09 15:50:00,932.15,899.97,902.789141449941,902.7099000000005
2020-05-09 15:55:00,894.95,932.15,902.7886784237044,910.6218999999999
2020-05-09 16:00:00,897.46,894.95,902.7891094498684,913.5308
2020-05-09 16:05:00,892.12,897.46,902.7887082122292,904.2628999999996
2020-05-09 16:10:00,912.66,892.12,902.7890817200498,901.8523
2020-05-09 16:15:00,900.61,912.66,902.7887340256203,900.3424999999999
2020-05-09 16:20:00,918.04,900.61,902.7890576906406,900.5312999999996
2020-05-09 16:25:00,921.35,918.04,902.7887563943401,902.3792999999998
2020-05-09 16:30:00,901.74,921.35,902.789036867839,901.0684000000002
2020-05-09 16:35:00,918.6,901.74,902.7887757780632,906.7649
2020-05-09 16:40:00,909.92,918.6,902.7890188237388,915.6447999999999
2020-05-09 16:45:00,913.3,909.92,902.7887925751227,906.6189999999998
2020-05-09 16:50:00,920.08,913.3,902.7890031875361,912.8330999999995
2020-05-09 16:55:00,912.87,920.08,902.7888071306963,909.3042999999997
2020-05-09 17:00:00,907.14,912.87,902.7889896379085,911.971
2020-05-09 17:05:00,913.4,907.14,902.7888197438996,908.3857999999999
2020-05-09 17:10:00,886.13,913.4,902.7889778964127,910.4426153846152
2020-05-09 17:15:00,900.78,886.13,902.7888306739322,904.4111999999998
2020-05-09 17:20:00,890.9,900.78,902.7889677217623,910.2609000000001
2020-05-09 17:25:00,918.31,890.9,902.7888401454053,907.5898000000002
2020-05-09 17:30:00,909.12,918.31,902.7889589048696,907.3332999999994
2020-05-09 17:35:00,936.58,909.12,902.7888483529563,904.8418
2020-05-09 17:40:00,920.23,936.58,902.7889512645481,912.4531999999999
2020-05-09 17:45:00,890.97,920.23,902.7888554652495,903.1527000000002
2020-05-09 17:50:00,912.11,890.97,902.7889446437904,906.2355000000002
2020-05-09 17:55:00,911.15,912.11,902.7888616284419,907.3542000000001
2020-05-09 18:00:00,905.12,911.15,902.7889389065406,908.4637000000002
2020-05-09 18:05:00,910.3,905.12,902.7888669691862,908.4993
2020-05-09 18:10:00,937.33,910.3,902.7889339348989,911.9401999999998
2020-05-09 18:15:00,903.53,937.33,902.7888715972342,913.4876000000003
2020-05-09 18:20:00,918.74,903.53,902.7889296266985,911.814353846154
2020-05-09 18:25:00,911.2,918.74,902.7888756076918,915.7287
2020-05-09 18:30:00,910.38,911.2,902.7889258934066,910.9990999999998
2020-05-09 18:35:00,916.24,910.38,902.7888790829734,914.7262999999996
